date,location,text
2022-01-27 23:27:04,"b'Galicia, Espa\xc3\xb1a'","b'#Horizonte claro, claro, inmunidad h\xc3\xadbrida con una vacuna de la primera versi\xc3\xb3n del virus... \n\nMetiendo ya t\xc3\xa9rminos del Transhumanismo \xc2\xbfno?\n\n\xc2\xbfD\xc3\xb3nde est\xc3\xa1 el maniqu\xc3\xad pelite\xc3\xb1ido aquel con el pin de la Agenda 2030?'"
2022-01-27 23:26:55,"b'Sitges, Espa\xc3\xb1a'","b'@Zarabandiuka @Gancia_imback @InesSainzOf Mi unico vicio es la coca cola \xf0\x9f\x98\x83. Por mi no problem obligatoria y gratuita. A ti nadie te obliga, puedes no vacunarte e incluso puedes decir en alto tu postura y me parece bien. La discusion es buena. Si no hubiera sido por la vacuna hubiera habido una autentica escabechina.'"
2022-01-27 23:25:57,"b'Zaragoza, Espa\xc3\xb1a'","b'@onioninblack Aaaaa, pero si que eres una vaca porqUE TE VACUNAS\n\n#JAQUEMATEATEOS'"
2022-01-27 23:25:52,b'Spain',"b'Decir ""no necesito vacunas, tengo sistema inmune"" es un poco como decir ""no necesito vitaminas, tengo sistema digestivo"" o ""no necesito conocimientos, tengo cerebro"".\n\nVamos, una estupidez que solo se puede explicar como consecuencia de capas y capas de ignorancia. https://t.co/0uvfGO8avn'"
2022-01-27 23:25:47,"b'Barcelona, Espa\xc3\xb1a'","b'@ximopuig O sea que admites que la clave es obligar a gente que no se vacuna , nada de evitar pandemias ... gracias'"
2022-01-27 23:25:42,"b'Huelva, Espa\xc3\xb1a'",b'@navedelmisterio Tremendo que esto no se avise antes de que la gente se someta al experimento g\xc3\xa9nico voluntario.\nhttps://t.co/QsNwLLsPsF'
2022-01-27 23:25:41,"b'Islas Canarias, Espa\xc3\xb1a'","b'@anagalera5 @pucelanomorbos5 @PhilAMellows @aperiago Llama la atenci\xc3\xb3n la rapidez con la que la AEP ha incluido la ""vacuna"" experimental covid en su gu\xc3\xada... https://t.co/bclFGXF4Hq'"
2022-01-27 23:24:23,"b'Galicia, Espa\xc3\xb1a'",b'#Horizonte por fin Carmen se digna a hablar de que la gente se queja de los efectos secundarios...\n\nAhhh y Carballo admitiendo que las vacunas est\xc3\xa1n en estudio... Qu\xc3\xa9 raro...'
2022-01-27 23:23:54,b'espa\xc3\xb1a',"b'@InspectorMundie Suena ya un nuevo virus, el mers cov 2. \nLa excusa perfecta para los efectos adversos de la vacuna ya a llegado.'"
2022-01-27 23:23:10,b'Reino de Espa\xc3\xb1a',b'@BeatrizTalegon @Diario_16 Lo peor no es el gasto sino que esas vacunas se podr\xc3\xadan haber mandado a pa\xc3\xadses que carecen de medios para comprarlas y eso nos habr\xc3\xada ayudado tambi\xc3\xa9n a nosotros.'
2022-01-27 23:22:41,b'Espa\xc3\xb1a/USA/Dub\xc3\xa1i',"b'@Zhoram @Oscar31953617 @Charkito4 Bueno ahora le pido algo, mu\xc3\xa9streme pruebas oficiales del ministerio de sanidad que prueben la existencia del covid19 y d\xc3\xadgame que es lo que contienes los viales de las vacunas y los efectos adversos,  con eso usted me gana.'"
2022-01-27 23:20:33,"b'Le\xc3\xb3n, Espa\xc3\xb1a'",b'@navedelmisterio Mientras que haya gente INCULTA que siga pensando que ponerse una vacuna hace que no te contagies y que no contagies al resto seguiremos con las demas tonterias como el pasaporte covid... \xf0\x9f\x98\x93'
2022-01-27 23:19:55,"b'Murcia, Espa\xc3\xb1a'",b'Los anticuerpos de la vacuna viendo el kebab que me he cenado esta noche\n\n https://t.co/yYbk6WOQP1'
